IP Address,domain,Country,Region/City,lat,lon,ISP/Organization
148.6.2.104,wigner.hu,Hungary,Budapest,47.4980,19.0399,MTA Wigner Fizikai Kutatokozpont
157.181.1.232,elte.hu,Hungary,Budapest,47.4839,19.0597,Eotvos Lorand Universityof Sciences
193.231.20.15,ubbcluj.ro,Romania,Cluj,46.7667,23.6000,Romanian Education Network
193.226.5.7,utcluj.ro,Romania,Cluj,46.7727,23.5864,Romanian Education Network
129.187.255.151,tum.de,Germany,Garchingbei MÃ¼nchen,48.2490,11.6510,Leibniz Rechenzentrum
160.45.170.10,fu-berlin.de,Germany,Berlin,52.5244,13.4105,Freie Universitaet Berlin
130.75.2.151,uni-hannover.de,Germany,Hannover,52.3705,9.7332,Gottfried Wilhelm Leibniz Universitaet Hannover
131.152.228.33,unibas.ch,Switzerland,Basel,47.5584,7.5733,Universitaet Basel
193.49.39.51,universite-lyon.fr,France,Lyon,45.7485,4.8467,PresUniversitede Lyon
194.117.3.27,www.ulisboa.pt,Portugal,Lisboa,38.7167,-9.1333,Fundacao Paraa Cienciaea Tecnologia I.P.
128.232.132.8,cam.ac.uk,UK,Coton,52.2106,0.0609,University of Cambridge
129.215.235.216,ed.ac.uk,UK,Edinburgh,55.9521,-3.1965,The University of Edinburgh
140.180.223.42,www.princeton.edu,USA,Princeton,40.3675,-74.6695,Princeton University
23.185.0.1,www.harvard.edu,Switzerland,Lucerne,46.9516,8.0172,Fastly
164.67.228.152,www.ucla.edu,USA,Los Angeles,34.0522,-118.2437,University of California Los Angeles
133.162.67.133,www.ynu.ac.jp,Japan,Tokyo,35.6895,139.6917,Fujitsu Limited
147.46.10.174,www.useoul.edu,SouthKorea,Seoul,37.5660,126.9784,Seoul National University
50.19.226.237,web.iit.edu,USA,Ashburn,39.0437,-77.4875,Amazon.com Inc.
143.107.158.19,fearp.usp.br,Brazil,Sao Paulo,-21.1775,-47.8103,Universidade de Sao Paulo
200.89.76.16,uchile.cl,Chile,Santiago,-33.4263,-70.5666,Universidad de Chile
43.245.43.59,unimelb.edu.au,Australia,Sydney,-33.8678,151.2073,Squiz Pty Ltd